productType,variantId,sku,prices,tax,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,metaKeywords.en,name.de,description.de,slug.de,metaTitle.de,metaDescription.de,metaKeywords.de,name.it,description.it,slug.it,metaTitle.it,metaDescription.it,metaKeywords.it,creationDate,articleNumberManufacturer,articleNumberMax,matrixId,baseId,designer,madeInItaly,completeTheLook,commonSize,size,color,colorFreeDefinition.en,details.en,colorFreeDefinition.de,details.de,colorFreeDefinition.it,details.it,style,gender,season,isOnStock,isLook,lookProducts,seasonNew
main,1,A0E2000000021S0,EUR 25625;EUR 16803 b2b;US-USD 25625;USD 16803 b2b;DE-EUR 20500;IT-EUR 20500;GB-EUR 20500;DE-EUR 19270#sunrise-store-berlin;EUR 24344#sunrise-store-vienna;DE-EUR 21935#sunrise-store-munich;DE-EUR 19475#sunrise-store-cologne;DE-EUR 19270#sunrise-store-hamburg;US-USD 19270#sunrise-store-boston-2;USD 24344#sunrise-store-chicago;US-USD 21935#sunrise-store-boston-1;US-USD 19475#sunrise-store-sanfrancisco;US-USD 19270#sunrise-store-newyork,standard,,https://www.ikea.com/us/en/images/products/symfonisk-wifi-bookshelf-speaker-black__0707117_pe726114_s5.jpg?f=xxs,SYMFONISK,"Place the speaker horizontally or vertically, or mount it on the wall to use as a practical shelf. Also helps you to use your space optimally, while providing a rich sound that fills the entire room.",,,,,SYMFONISK,"Place the speaker horizontally or vertically, or mount it on the wall to use as a practical shelf. Also helps you to use your space optimally, while providing a rich sound that fills the entire room.",,,,,SYMFONISK,"Place the speaker horizontally or vertically, or mount it on the wall to use as a practical shelf. Also helps you to use your space optimally, while providing a rich sound that fills the entire room.",,,,,,JC4235PP0XXJ0100 BIANCO,79310,A0E2000000021S0,79310,moschinolove,no,,oneSize,one size,white,white,,wei�,,,,sporty,women,s15,,,,
main,2,M0E20000000E1AZ,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11280#sunrise-store-berlin;EUR 14250#sunrise-store-vienna;DE-EUR 12480#sunrise-store-munich;DE-EUR 11880#sunrise-store-cologne;DE-EUR 12480#sunrise-store-hamburg;US-USD 11280#sunrise-store-boston-2;USD 14250#sunrise-store-chicago;US-USD 12480#sunrise-store-boston-1;US-USD 11880#sunrise-store-sanfrancisco;US-USD 12480#sunrise-store-newyork,standard,,https://www.ikea.com/us/en/images/products/tradfri-wireless-motion-sensor-white__0725849_pe735071_s5.jpg?f=xxs,TRADFRI,Now it's easy for anyone to use smart lighting. The motion sensor turns your light sources on automatically when there is movement � so you have light when you need it and save energy. Can also be used in bathrooms.,,,,,TRADFRI,Now it's easy for anyone to use smart lighting. The motion sensor turns your light sources on automatically when there is movement � so you have light when you need it and save energy. Can also be used in bathrooms.,,,,,TRADFRI,Now it's easy for anyone to use smart lighting. The motion sensor turns your light sources on automatically when there is movement � so you have light when you need it and save energy. Can also be used in bathrooms.,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,3,M0E20000000E1B0,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 10800#sunrise-store-berlin;EUR 16050#sunrise-store-vienna;DE-EUR 10800#sunrise-store-munich;DE-EUR 13200#sunrise-store-cologne;DE-EUR 13200#sunrise-store-hamburg;US-USD 10800#sunrise-store-boston-2;USD 16050#sunrise-store-chicago;US-USD 10800#sunrise-store-boston-1;US-USD 13200#sunrise-store-sanfrancisco;US-USD 13200#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/myrvarv-led-light-strip-flexible-dimmable__0933835_pe792233_s5.jpg?f=xxs,MYRVARV,"Be creative with your lighting. This LED strip can be used in so many ways � in drawers, behind the TV, by your favorite work of art or under your bed. The only limit is your imagination.",,,,,MYRVARV,"Be creative with your lighting. This LED strip can be used in so many ways � in drawers, behind the TV, by your favorite work of art or under your bed. The only limit is your imagination.",,,,,MYRVARV,"Be creative with your lighting. This LED strip can be used in so many ways � in drawers, behind the TV, by your favorite work of art or under your bed. The only limit is your imagination.",,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,4,M0E20000000E1B1,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11520#sunrise-store-berlin;EUR 16200#sunrise-store-vienna;DE-EUR 11520#sunrise-store-munich;DE-EUR 10920#sunrise-store-cologne;DE-EUR 11520#sunrise-store-hamburg;US-USD 11520#sunrise-store-boston-2;USD 16200#sunrise-store-chicago;US-USD 11520#sunrise-store-boston-1;US-USD 10920#sunrise-store-sanfrancisco;US-USD 11520#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/tradfri-wireless-motion-sensor-white__0725849_pe735071_s5.jpg?f=xxs,TRADFRI,Now it's easy for anyone to use smart lighting. The motion sensor turns your light sources on automatically when there is movement � so you have light when you need it and save energy. Can also be used in bathrooms.,,,,,TRADFRI,Now it's easy for anyone to use smart lighting. The motion sensor turns your light sources on automatically when there is movement � so you have light when you need it and save energy. Can also be used in bathrooms.,,,,,TRADFRI,Now it's easy for anyone to use smart lighting. The motion sensor turns your light sources on automatically when there is movement � so you have light when you need it and save energy. Can also be used in bathrooms.,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,5,M0E20000000E1B2,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11760#sunrise-store-berlin;EUR 14100#sunrise-store-vienna;DE-EUR 12960#sunrise-store-munich;DE-EUR 11640#sunrise-store-cologne;DE-EUR 12960#sunrise-store-hamburg;US-USD 11760#sunrise-store-boston-2;USD 14100#sunrise-store-chicago;US-USD 12960#sunrise-store-boston-1;US-USD 11640#sunrise-store-sanfrancisco;US-USD 12960#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/fyrtur-blackout-roller-blind-wireless-battery-operated-gray__0595179_pe675959_s5.jpg?f=xxs,FYRTUR,"Using the included remote control, you can adjust your blinds from the comfort of your bed. The block-out fabric blocks out all light from outside � perfect for bedrooms.",,,,,FYRTUR,"Using the included remote control, you can adjust your blinds from the comfort of your bed. The block-out fabric blocks out all light from outside � perfect for bedrooms.",,,,,FYRTUR,"Using the included remote control, you can adjust your blinds from the comfort of your bed. The block-out fabric blocks out all light from outside � perfect for bedrooms.",,,,,,MT980 BB,79560,M0E20000000E1B2,79560,newbalance,no,,40.5,6.5,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,6,M0E20000000E1B3,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12480#sunrise-store-berlin;EUR 15900#sunrise-store-vienna;DE-EUR 11160#sunrise-store-munich;DE-EUR 13080#sunrise-store-cologne;DE-EUR 11160#sunrise-store-hamburg;US-USD 12480#sunrise-store-boston-2;USD 15900#sunrise-store-chicago;US-USD 11160#sunrise-store-boston-1;US-USD 13080#sunrise-store-sanfrancisco;US-USD 11160#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/friheten-sleeper-sectional-3-seat-w-storage-skiftebo-dark-gray__0175610_pe328883_s5.jpg?f=xxs,FRIHETEN,"After a good night�s sleep, you can effortlessly convert your bedroom or guest room into a living room again. The built-in storage is easy to access and spacious enough to store bedding, books and PJs.",,,,,FRIHETEN,"After a good night�s sleep, you can effortlessly convert your bedroom or guest room into a living room again. The built-in storage is easy to access and spacious enough to store bedding, books and PJs.",,,,,FRIHETEN,"After a good night�s sleep, you can effortlessly convert your bedroom or guest room into a living room again. The built-in storage is easy to access and spacious enough to store bedding, books and PJs.",,,,,,MT980 BB,79560,M0E20000000E1B3,79560,newbalance,no,,41,7,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,7,M0E20000000E1B4,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11400#sunrise-store-berlin;EUR 13650#sunrise-store-vienna;DE-EUR 11400#sunrise-store-munich;DE-EUR 11280#sunrise-store-cologne;DE-EUR 11400#sunrise-store-hamburg;US-USD 11400#sunrise-store-boston-2;USD 13650#sunrise-store-chicago;US-USD 11400#sunrise-store-boston-1;US-USD 11280#sunrise-store-sanfrancisco;US-USD 11400#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/strandmon-wing-chair-vibberbo-black-beige__0761768_pe751434_s5.jpg?f=xxs,STRANDMON,One of our old icons is now wearing a classy outfit. The cover with a classic houndstooth pattern enhance your personal sense of style at home. Comfort and quality since the 1950s.,,,,,STRANDMON,One of our old icons is now wearing a classy outfit. The cover with a classic houndstooth pattern enhance your personal sense of style at home. Comfort and quality since the 1950s.,,,,,STRANDMON,One of our old icons is now wearing a classy outfit. The cover with a classic houndstooth pattern enhance your personal sense of style at home. Comfort and quality since the 1950s.,,,,,,MT980 BB,79560,M0E20000000E1B4,79560,newbalance,no,,41.5,7.5,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,8,M0E20000000E1B5,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12240#sunrise-store-berlin;EUR 13950#sunrise-store-vienna;DE-EUR 12120#sunrise-store-munich;DE-EUR 11520#sunrise-store-cologne;DE-EUR 12120#sunrise-store-hamburg;US-USD 12240#sunrise-store-boston-2;USD 13950#sunrise-store-chicago;US-USD 12120#sunrise-store-boston-1;US-USD 11520#sunrise-store-sanfrancisco;US-USD 12120#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/yttervag-four-poster-bed-frame-brown-luroey__1019382_pe831353_s5.jpg?f=xxs,YTTERVAG,You don�t need to live in a castle to sleep like royalty. The timeless and simple expression of this four-poster bed frame in a Scandinavian style fits just as well in a modern home.,,,,,YTTERVAG,You don�t need to live in a castle to sleep like royalty. The timeless and simple expression of this four-poster bed frame in a Scandinavian style fits just as well in a modern home.,,,,,YTTERVAG,You don�t need to live in a castle to sleep like royalty. The timeless and simple expression of this four-poster bed frame in a Scandinavian style fits just as well in a modern home.,,,,,,MT980 BB,79560,M0E20000000E1B5,79560,newbalance,no,,42,8,multicolored,multi,,multi,,,,sporty,men,s15,,,,
,9,M0E20000000E1B6,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12360#sunrise-store-berlin;EUR 14850#sunrise-store-vienna;DE-EUR 11040#sunrise-store-munich;DE-EUR 12240#sunrise-store-cologne;DE-EUR 11040#sunrise-store-hamburg;US-USD 12360#sunrise-store-boston-2;USD 14850#sunrise-store-chicago;US-USD 11040#sunrise-store-boston-1;US-USD 12240#sunrise-store-sanfrancisco;US-USD 11040#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/brimnes-wardrobe-with-3-doors-white__0176787_pe329567_s5.jpg?f=xxs,BRIMNES,Of course your home should be a safe place for the entire family. That�s why a safety fitting is included so that you can attach the wardrobe to the wall.,,,,,BRIMNES,Of course your home should be a safe place for the entire family. That�s why a safety fitting is included so that you can attach the wardrobe to the wall.,,,,,BRIMNES,Of course your home should be a safe place for the entire family. That�s why a safety fitting is included so that you can attach the wardrobe to the wall.,,,,,,MT980 BB,79560,M0E20000000E1B6,79560,newbalance,no,,42.5,8.5,multicolored,multi,,multi,,,,sporty,men,s15,TRUE,,,
,10,M0E20000000E1B7,EUR 15000;EUR 9836 b2b;US-USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 13080#sunrise-store-berlin;EUR 13500#sunrise-store-vienna;DE-EUR 11880#sunrise-store-munich;DE-EUR 11160#sunrise-store-cologne;DE-EUR 11760#sunrise-store-hamburg;US-USD 13080#sunrise-store-boston-2;USD 13500#sunrise-store-chicago;US-USD 11880#sunrise-store-boston-1;US-USD 11160#sunrise-store-sanfrancisco;US-USD 11760#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/linnmon-adils-table-white__0737165_pe740925_s5.jpg?f=xxs,LINNMON / ADILS,"Mix and match your choice of table top and legs � or choose this ready-made combination. Strong and light-weight, made with a technique that uses less raw materials, reducing the impact on the environment.",,,,,LINNMON / ADILS,"Mix and match your choice of table top and legs � or choose this ready-made combination. Strong and light-weight, made with a technique that uses less raw materials, reducing the impact on the environment.",,,,,LINNMON / ADILS,"Mix and match your choice of table top and legs � or choose this ready-made combination. Strong and light-weight, made with a technique that uses less raw materials, reducing the impact on the environment.",,,,,,MT980 BB,79560,M0E20000000E1B7,79560,newbalance,no,,43,9,multicolored,multi,,multi,,,,sporty,men,s15,TRUE,,,
